K=[1  22  ;
2  21  ;
3  20  ;
4  19  ]

n=22
n_k = [
1  ;
1  ;
1  ;
1  ]

A_1 = [
2  7  5 ;
7  8  3 ;
7  12  4 ;
8  9  2 ;
9  12  0 ;
11  14  0 ;
13  12  2 ;
13  16  2 ;
14  19  3 ;
15  14  4 ;
15  19  2 ;
15  20  1 ;
16  15  3 ;
16  17  4 ;
16  20  4 ;
17  16  2 ;
17  21  5 ]

A_2 = [
1  2  0 ;
1  3  0 ;
1  4  0 ;
1  5  0 ;
2  6  3 ;
3  6  2 ;
3  7  5 ;
3  8  2 ;
4  7  8 ;
4  8  8 ;
4  9  8 ;
5  8  7 ;
5  9  4 ;
6  7  2 ;
6  10  8 ;
6  11  1 ;
7  6  7 ;
7  10  10 ;
7  11  1 ;
8  7  5 ;
8  11  10 ;
8  12  2 ;
8  13  6 ;
9  8  1 ;
9  13  1 ;
10  11  9 ;
10  14  1 ;
10  15  7 ;
11  10  4 ;
11  12  7 ;
11  15  9 ;
11  16  4 ;
12  11  8 ;
12  13  8 ;
12  15  9 ;
12  16  4 ;
12  17  6 ;
13  17  8 ;
14  15  5 ;
14  18  1 ;
15  16  2 ;
15  18  3 ;
16  19  7 ;
16  21  4 ;
17  20  5 ;
18  22  0 ;
19  22  0 ;
20  22  0 ;
21  22  0 ]
